isolabel_ext,status,base_intlevel,cover,overlay
BR-AC-Acrelandia,1,50,471H 471R 471V 473H 473M 474R 476H,
BR-AC-AssisBrasil,1,50,41dV 41fM 448R 448V 449R 44aH 44aM 44aR 44aV 44bH 44bM 44bR 461H,
BR-AC-Brasileia,1,50,44aM 44bH 44bM 44bR 44bV 44cR 44cV 44eH 44eM 44eR 461M,
BR-AC-Bujari,1,50,465R 465V 467H 467M 467R 467V 46dH 46dM 472H,
BR-AC-Capixaba,1,50,44fV 45aR 45aV 465M 470H,
BR-AC-CruzeiroSul,1,50,42cV 42eH 42eM 42eR 42eV 42fH 42fM 42fR 42fV 43aH 43aM 43aR 43aV 485H 485M 485R 485V 490H 490M 490R 491H,
BR-AC-Epitaciolandia,1,50,44cV 44dR 44eH 44eM 44eV 44fH,
BR-AC-Feijo,1,45,430G 430Q 431G 431Q 433G 433Q 434G 434Q 436G 436Q 437G 437Q 439G 43cG 43cQ 43dG 43dQ 43fG 43fQ 468G 468Q 469Q 46aG 46aQ 46bG 46bQ 495G 4c0G,
BR-AC-Jordao,1,50,430V 431R 432M 432V 433H 433M 433R 433V 438M 439H 439M 439R 439V,
BR-AC-MancioLima,1,50,481M 481V 483M 484H 484M 484R 484V 485H 485M 485R 486H,
BR-AC-ManoelUrbano,1,50,41fV 435H 435M 435V 437M 437V 44aR 460H 460R 460V 462H 462M 462R 462V 463R 468M 468V 469H 469M 469R 469V 46bH 46bM 46cR,
BR-AC-MarechalThaumaturgo,1,50,427H 427M 427R 427V 42dH 42dM 42dV 432H 432M 432R 432V 433R 438H 438M 438V 439H,
BR-AC-PlacidoCastro,1,50,45aR 45aV 470H 470M 470V 471H 471R,
BR-AC-PortoAcre,1,50,467M 467V 470V 472H 472M 472R 472V,
BR-AC-PortoWalter,1,50,42cV 42dH 42dM 42dR 42dV 42eM 42fH 42fM 42fV 438H 438M 438R 438V 43aH 43aM,
BR-AC-RioBranco,1,50,44bV 461M 464H 464M 464R 464V 465H 465M 465R 465V 466M 466V 467H 467M 467R 470H 470R 470V 472H 472M,
BR-AC-RodriguesAlves,1,50,42eR 42eV 42fR 42fV 484H 484M 485H 485M,
BR-AC-SantaRosaPurus,1,50,434V 435H 435M 435R 435V 436M 437H 437M 437R 437V 43dM 462H 462R 462V 468H 468M,
BR-AC-SenadorGuiomard,1,50,470H 470M 470R 470V 471R 472M 472V 473H,
BR-AC-SenaMadureira,1,45,41fG 41fQ 44aG 44aQ 44bQ 460G 460Q 461G 461Q 462G 462Q 463G 463Q 464G 464Q 466G 466Q 467Q 469G 469Q 46cG 46cQ 46dG,
BR-AC-Tarauaca,1,50,438M 438V 439H 439M 439R 439V 43aM 43aV 43bH 43bM 43bR 43bV 43cH 43cR 43cV 43dR 43eH 43eM 43eR 43eV 43fH 43fR 490M 491H 491M 494H 494M 495H,
BR-AC-Xapuri,1,50,44bV 44dR 44eH 44eM 44eR 44eV 44fH 44fM 44fR 44fV 461M 464H 464M 465H 465M,
BR-AL-AguaBranca,1,75,7739P 7739T 7739Z 7739Y 773bJ 773bK 773bN 773bP 773bS 773bT 773bZ 773bY 773cK 773cS 773cT 773cY 773eJ 773eK 773eN 773eP 773eS 773eT 7791J 7791K 7791N 7791P 7791Z 7794J,
BR-AL-Anadia,1,75,775fZ 775fY 7775N 7775P 7775Z 820aS 820aT 820aZ 820aY 8220J 8220K 8220N 8220P 8220S,
BR-AL-Arapiraca,1,75,775bN 775bP 775bS 775bT 775bZ 775bY 775cS 775cT 775cZ 775cY 775eJ 775eK 775eN 775eP 775eS 775eT 775eZ 7771J 7771N 7771P 7774J 7774K,
BR-AL-Atalaia,1,75,8220Z 8220Y 8221K 8221P 8221S 8221T 8221Z 8221Y 8222N 8222P 8223J 8223K 8223N 8223P 8223Z 8224K 8224S 8224T 8224Y 8226J 8226K 8226N 8226P 8226S 8226T 8226Z 8226Y,
BR-AL-BarraSantoAntonio,1,75,8232S 8232T 8232Z 8232Y 8233K 8233P 8233S 8233T 8233Z 8233Y 8239N,
BR-AL-BarraSaoMiguel,1,75,820cS 820cT 820cZ 820cY 820dT 820eJ 820eN 820fJ,
BR-AL-Batalha,1,75,774eT 774eZ 774eY 774fK 774fS 774fT 774fZ 774fY 7764J 7764K 7764N 7764P 7764Z 7764Y 7765J 7765K 7765N 7765S 7765T,
BR-AL-Belem,1,75,7774Z 7774Y 7775S 7775T 7776N 7776P 7777J 7777K,
BR-AL-BeloMonte,1,75,7749Y 774bN 774bP 774bZ 774bY 774cT 774cZ 774cY 774eJ 774eK 774eN 774eP 774eS 774eT 774eZ 774eY 774fJ 774fK 774fS 7764J,
BR-AL-BocaMata,1,75,820aZ 820aY 820bS 820bT 820bZ 820bY 8220N 8220P 8220Z 8221J 8221K 8221N,
BR-AL-Branquinha,1,75,8229T 8229Z 8229Y 822bJ 822bN 822cS 822cT 822cY 822eJ 822eN 822eP 822fK,
BR-AL-Cacimbinhas,1,75,7767P 7767Z 7767Y 776dN 776dP 7772J 7772K 7772N 7772P 7772S 7772T 7772Z 7772Y 7778J 7778K 7778N,
BR-AL-Cajueiro,1,75,8222P 8222Z 8223K 8223S 8223T 8223Y 8229J 8229K 8229N 8229P,
BR-AL-Campestre,1,75,8291T 8291Z 8291Y 8293J 8293K 8293N 8293P 8293Z,
BR-AL-CampoAlegre,1,75,775dZ 775dY 775fN 775fP 775fZ 8208J 8208K 8208P 8208S 8208T 8208Z 8208Y 820aJ 820aK 820aN 820aP 820aS 820aT 820aZ,
BR-AL-CampoGrande,1,75,7752Y 7753S 7753T 7758N 7758P 7758Z 7759J 7759K 7759N 7759P 7759S 7759T 7759Z,
BR-AL-Canapi,1,50,773V 776R 779M 77cH,
BR-AL-Capela,1,75,8223K 8223P 8223S 8223Z 8223Y 8226S 8226T 8229K 8229N 8229P 8229S 8229T 8229Z 8229Y 822bJ 822cJ 822cK 822cS,
BR-AL-Carneiros,1,75,7762Z 7762Y 7763K 7763S 7763T 7763Z 7763Y 7768N 7769J 7769N,
BR-AL-ChaPreta,1,75,8228K 8228S 8228T 8228Z 8228Y 8229T 822aJ 822aK 822aN 822aP 822bJ,
BR-AL-CoiteNoia,1,75,775eT 7774J 7774K 7774N 7774P 7774S 7774T 7774Z 7774Y,
BR-AL-ColoniaLeopoldina,1,75,8285P 8285Z 8285Y 8287N 8287P 8290J 8290K 8290N 8290P 8290S 8290T 8290Z 8290Y 8292J 8292K 8292N,
BR-AL-CoqueiroSeco,1,75,820fT 820fY 8225J 8225N 8225P,
BR-AL-Coruripe,1,50,75fV 775M 80aR 820H 820R,
BR-AL-Craibas,1,75,775aY 775bT 7770K 7770N 7770P 7770S 7770T 7770Z 7770Y 7771J 7771K 7771N 7771P 7771S 7771T 7771Z 7771Y 7772N 7773J,
BR-AL-DelmiroGouveia,1,75,772dP 772dZ 772dY 772fN 772fP 7733S 7733T 7733Z 7733Y 7738K 7738N 7738P 7738S 7738T 7738Z 7738Y 7739J 7739K 7739N 7739P 7739S 7739T 7739Z 773aJ 773aK 773aN 773aP 773aS 773bJ,
BR-AL-DoisRiachos,1,75,7766Y 7767T 776cN 776cP 776dJ 776dK 776dN 776dP 776dS 776dT 776dZ 776dY,
BR-AL-EstrelaAlagoas,1,75,7772P 7772Z 7772Y 7773K 7773P 7773S 7773T 7773Z 7773Y 7778N 7779J 7779K 7779N 7779P 7779S 7779T 7779Z 7779Y,
BR-AL-FeiraGrande,1,75,7759N 7759P 7759S 7759T 7759Z 7759Y 775bJ 775bN 775bP 775cJ 775cK 775cS 775cT 775eJ,
